Geographic Area,Latitude,Longitude,2021 Population Estimate (as of July 1)
Agu1ilar town,37.4,-104.66,452
Akron town,40.16,-103.22,"1,770"
Alamosa city,37.47,-105.88,"9,814"
Alma town,39.29,-106.07,298
Antonito town,37.08,-106.01,647
Arriba town,39.28,-103.27,205
Arvada city,39.83,-105.15,"123,436"
Aspen city,39.19,-106.84,"6,949"
Ault town,40.58,-104.73,"2,365"
Aurora city,39.71,-104.73,"389,347"
Avon town,39.64,-106.51,"6,058"
Basalt town,39.37,-107.04,"4,071"
Bayfield town,37.24,-107.59,"2,887"
Bennett town,39.74,-104.43,"3,295"
Berthoud town,40.31,-105.04,"11,717"
Bethune town,39.3,-102.42,178
Black Hawk city,39.8,-105.49,128
Blanca town,37.44,-105.51,335
Blue River town,39.44,-106.04,884
Bonanza town,38.3,-106.14,15
Boone town,38.25,-104.26,307
Boulder city,40.03,-105.25,"104,175"
Bow Mar town,39.63,-105.05,844
Branson town,37.02,-103.88,56
Breckenridge town,39.5,-106.04,"5,024"
Brighton city,39.97,-104.8,"40,693"
Brookside town,38.41,-105.19,242
Broomfield city,39.95,-105.05,"75,325"
Brush city,40.26,-103.63,"5,296"
Buena Vista town,38.83,-106.14,"2,988"
Burlington city,39.3,-102.27,"3,098"
Calhan town,39.03,-104.3,755
Campo town,37.1,-102.58,103
Carbondale town,39.39,-107.21,"6,491"
Castle Rock town,39.38,-104.85,"76,353"
Cedaredge town,38.89,-107.93,"2,356"
Centennial city,39.59,-104.87,"106,966"
Center town,37.75,-106.11,"1,933"
Central City city,39.8,-105.51,785
Cheraw town,38.11,-103.51,236
Cherry Hills Village city,39.64,-104.95,"6,353"
Cheyenne Wells town,38.82,-102.35,738
City of Creede town,37.85,-106.93,275
Coal Creek town,38.36,-105.14,371
Cokedale town,37.14,-104.62,127
Collbran town,39.24,-107.96,368
Colorado Springs city,38.87,-104.76,"483,956"
Columbine Valley town,39.6,-105.03,"1,552"
Commerce City city,39.86,-104.84,"64,287"
Cortez city,37.35,-108.58,"8,855"
Craig city,40.52,-107.56,"8,969"
Crawford town,38.71,-107.61,405
Crested Butte town,38.87,-106.98,"1,681"
Crestone town,38,-105.7,138
Cripple Creek city,38.75,-105.18,"1,139"
Crook town,40.86,-102.8,129
Crowley town,38.19,-103.86,182
Dacono city,40.06,-104.95,"6,487"
De Beque town,39.29,-108.2,488
Deer Trail town,39.62,-104.04,"1,222"
Del Norte town,37.68,-106.35,"1,455"
Delta city,38.76,-108.08,"9,224"
Denver city,39.76,-104.88,"711,463"
Dillon town,39.62,-106.04,"1,057"
Dinosaur town,40.24,-109.01,243
Dolores town,37.47,-108.5,904
Dove Creek town,37.77,-108.91,733
Durango city,37.28,-107.87,"19,223"
Eads town,38.48,-102.78,675
Eagle town,39.64,-106.82,"7,538"
Eaton town,40.53,-104.71,"5,868"
Eckley town,40.11,-102.49,232
Edgewater city,39.75,-105.06,"4,951"
Elizabeth town,39.36,-104.61,"2,004"
Empire town,39.76,-105.68,339
Englewood city,39.65,-104.99,"33,516"
Erie town,40.04,-105.04,"31,686"
Estes Park town,40.37,-105.52,"5,880"
Evans city,40.37,-104.74,"22,296"
Fairplay town,39.22,-106,729
Federal Heights city,39.87,-105.02,"14,194"
Firestone town,40.15,-104.94,"17,299"
Flagler town,39.3,-103.08,561
Fleming town,40.68,-102.84,424
Florence city,38.38,-105.11,"3,909"
Fort Collins city,40.55,-105.07,"168,538"
Fort Lupton city,40.08,-104.8,"8,260"
Fort Morgan city,40.25,-103.79,"11,439"
Fountain city,38.69,-104.67,"29,677"
Fowler town,38.13,-104.03,"1,246"
Foxfield town,39.59,-104.79,751
Fraser town,39.93,-105.8,"1,420"
Frederick town,40.11,-104.97,"15,761"
Frisco town,39.58,-106.09,"2,903"
Fruita city,39.15,-108.73,"13,508"
Garden City town,40.39,-104.69,254
Genoa town,39.28,-103.5,156
Georgetown town,39.72,-105.7,"1,202"
Gilcrest town,40.28,-104.78,"1,017"
Glendale city,39.7,-104.94,"4,552"
Glenwood Springs city,39.55,-107.33,"10,326"
Golden city,39.74,-105.21,"19,871"
Granada town,38.06,-102.31,450
Granby town,40.07,-105.92,"2,132"
Grand Junction city,39.09,-108.57,"66,964"
Grand Lake town,40.25,-105.82,410
Greeley city,40.41,-104.77,"109,323"
Green Mountain Falls town,38.93,-105.02,641
Greenwood Village city,39.62,-104.91,"15,495"
Grover town,40.87,-104.23,154
Gunnison city,38.54,-106.93,"6,695"
Gypsum town,39.63,-106.93,"8,529"
Hartman town,38.12,-102.22,55
Haswell town,38.45,-103.16,72
Haxtun town,40.64,-102.63,975
Hayden town,40.49,-107.24,"1,967"
Hillrose town,40.32,-103.52,308
Holly town,38.06,-102.12,840
Holyoke city,40.58,-102.3,"2,332"
Hooper town,37.75,-105.88,79
Hot Sulphur Springs town,38.8,-107.71,682
Hotchkiss town,40.07,-106.1,906
Hudson town,40.09,-104.63,"1,635"
Hugo town,39.14,-103.47,786
Idaho Springs city,39.74,-105.5,"1,781"
Ignacio town,37.12,-107.64,857
Iliff town,40.76,-103.07,245
Jamestown town,40.12,-105.39,254
Johnstown town,40.35,-104.95,"18,204"
Julesburg town,40.98,-102.26,"1,266"
Keenesburg town,40.11,-104.51,"1,726"
Kersey town,40.39,-104.57,"1,494"
Kim town,37.25,-103.35,63
Kiowa town,39.34,-104.46,732
Kit Carson town,38.76,-102.8,250
Kremmling town,40.06,-106.38,"1,506"
La Jara town,37.27,-105.96,743
La Junta city,37.98,-103.55,"7,298"
La Salle town,40.35,-104.71,"2,342"
La Veta town,37.51,-105.01,863
Lafayette city,39.99,-105.1,"31,002"
Lake City town,38.03,-107.31,430
Lakeside town,39.78,-105.06,17
Lakewood city,39.7,-105.12,"156,605"
Lamar city,38.08,-102.62,"7,656"
